<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200302,101000,49.9900000,51.2400000,49.9900000,51.1700000,75574
20200302,102000,51.1800000,51.2200000,50.9700000,51.0300000,48119
20200302,103000,51.0400000,51.0800000,50.8800000,50.9000000,39570
20200302,104000,50.8900000,51.0200000,50.8400000,51.0200000,33197
20200302,105000,51.0100000,51.3800000,50.9800000,51.3400000,84140
20200302,110000,51.3400000,51.5400000,51.3000000,51.5100000,77209
20200302,111000,51.5200000,51.8900000,51.4300000,51.8700000,117943
20200302,112000,51.8600000,52.0000000,51.7400000,51.8100000,125685
20200302,113000,51.8100000,51.8300000,51.5600000,51.6000000,87845
20200302,114000,51.6000000,51.8200000,51.5000000,51.6400000,136641
20200302,115000,51.6500000,51.7600000,51.4700000,51.5100000,84928
20200302,120000,51.5100000,51.5800000,51.4600000,51.4700000,40913
20200302,121000,51.4800000,51.4800000,51.2100000,51.2400000,62423
20200302,122000,51.2500000,51.3200000,51.0700000,51.1500000,68559
20200302,123000,51.1600000,51.4500000,51.1600000,51.2700000,74026
20200302,124000,51.2700000,51.3500000,51.1000000,51.1100000,61402
20200302,125000,51.1200000,51.1300000,50.8600000,50.9800000,107119
20200302,130000,50.9800000,51.0400000,50.8000000,50.9100000,57506
20200302,131000,50.9100000,50.9200000,50.6200000,50.6600000,76144
20200302,132000,50.6500000,50.7300000,50.5300000,50.6300000,64846
20200302,133000,50.6400000,50.6400000,50.4900000,50.5600000,52128
20200302,134000,50.5500000,50.7800000,50.5400000,50.7400000,56883
20200302,135000,50.7300000,50.8200000,50.5800000,50.6700000,46445
20200302,140000,50.6800000,50.6900000,50.4200000,50.4500000,58410
20200302,141000,50.4300000,50.4300000,50.2700000,50.3300000,39533
20200302,142000,50.3200000,50.5500000,50.2300000,50.5500000,62801
20200302,143000,50.5500000,50.6000000,50.4000000,50.4300000,66312
20200302,144000,50.4300000,50.5500000,50.3600000,50.5000000,33757
20200302,145000,50.5000000,50.5000000,50.2500000,50.4000000,67716
20200302,150000,50.4000000,50.4200000,49.9200000,49.9700000,95798
20200302,151000,50.0000000,50.2500000,49.9800000,50.2000000,111726
20200302,152000,50.2100000,50.2600000,50.0500000,50.0900000,67080
20200302,153000,50.0900000,50.5000000,50.0500000,50.5000000,86797
20200302,154000,50.4900000,50.5000000,50.2500000,50.3200000,71764
20200302,155000,50.3000000,50.4100000,50.2200000,50.2700000,41320
20200302,160000,50.2700000,50.5200000,50.1500000,50.4300000,57597
20200302,161000,50.4400000,50.4600000,50.2800000,50.3700000,45417
20200302,162000,50.3500000,50.5200000,50.3000000,50.4400000,34101
20200302,163000,50.4200000,50.4200000,50.1100000,50.2600000,55556
20200302,164000,50.2700000,50.4200000,50.1700000,50.4000000,45030
20200302,165000,50.4000000,50.4400000,50.1300000,50.2900000,36598
20200302,170000,50.2900000,50.8300000,50.2500000,50.7800000,131594
20200302,171000,50.7800000,50.8300000,50.5600000,50.5600000,104961
20200302,172000,50.5700000,50.8300000,50.5200000,50.7800000,60960
20200302,173000,50.7800000,51.1600000,50.7000000,51.0700000,95422
20200302,174000,51.0700000,51.1000000,50.3700000,50.4500000,163395
20200302,175000,50.4600000,50.7700000,50.4100000,50.5800000,100487
20200302,180000,50.5700000,50.7300000,50.4800000,50.5400000,77742
20200302,181000,50.5300000,50.6500000,50.3300000,50.4900000,106979
20200302,182000,50.4800000,50.7800000,50.3800000,50.5400000,86558
20200302,183000,50.5400000,50.7200000,50.3800000,50.5500000,76970
20200302,184000,50.5600000,50.7500000,50.4300000,50.7300000,66967
20200302,185000,50.7500000,50.7800000,50.5200000,50.6400000,21016
20200302,190000,50.8400000,50.8400000,50.8400000,50.8400000,0
20200302,191000,50.7000000,51.1600000,50.7000000,50.8400000,81798
20200302,192000,50.8300000,51.7300000,50.8100000,51.5600000,215186
20200302,193000,51.5700000,51.8400000,51.5200000,51.5800000,150909
20200302,194000,51.5700000,52.0600000,51.5000000,52.0400000,143530
20200302,195000,52.0500000,52.1500000,51.8900000,51.9800000,107727
20200302,200000,51.9900000,52.2600000,51.9200000,51.9500000,111493
20200302,201000,51.9600000,52.1200000,51.8400000,51.8900000,95617
20200302,202000,51.9000000,51.9300000,51.7300000,51.7700000,49122
20200302,203000,51.7800000,52.2600000,51.7300000,52.0200000,130497
20200302,204000,52.0200000,52.3700000,52.0100000,52.2300000,119991
20200302,205000,52.2400000,52.3000000,52.1200000,52.1900000,56782
