<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200302,101000,1588.0000000,1605.1000000,1588.0000000,1601.9000000,9070
20200302,102000,1601.7000000,1604.8000000,1600.9000000,1603.7000000,2893
20200302,103000,1603.7000000,1606.2000000,1603.6000000,1604.2000000,3361
20200302,104000,1604.2000000,1604.6000000,1601.9000000,1602.5000000,1532
20200302,105000,1602.3000000,1602.7000000,1598.4000000,1600.3000000,2591
20200302,110000,1600.4000000,1600.6000000,1598.1000000,1600.1000000,1965
20200302,111000,1600.2000000,1604.9000000,1600.2000000,1604.2000000,2563
20200302,112000,1604.3000000,1605.9000000,1602.8000000,1605.5000000,1873
20200302,113000,1605.5000000,1607.7000000,1604.7000000,1607.0000000,2471
20200302,114000,1607.0000000,1607.7000000,1602.8000000,1604.7000000,1376
20200302,115000,1604.8000000,1609.1000000,1604.2000000,1607.5000000,2635
20200302,120000,1607.5000000,1608.2000000,1605.8000000,1608.0000000,1594
20200302,121000,1607.5000000,1607.5000000,1604.8000000,1607.0000000,1538
20200302,122000,1606.8000000,1610.7000000,1606.2000000,1609.8000000,2868
20200302,123000,1609.6000000,1610.3000000,1607.8000000,1607.9000000,3755
20200302,124000,1607.9000000,1612.4000000,1607.8000000,1611.6000000,2731
20200302,125000,1611.4000000,1613.0000000,1610.8000000,1611.2000000,2869
20200302,130000,1611.2000000,1612.4000000,1610.9000000,1611.3000000,1184
20200302,131000,1611.3000000,1612.9000000,1611.1000000,1612.0000000,1810
20200302,132000,1612.0000000,1613.2000000,1611.0000000,1611.1000000,1865
20200302,133000,1611.2000000,1612.3000000,1610.2000000,1610.8000000,1128
20200302,134000,1610.8000000,1612.0000000,1610.3000000,1611.3000000,1101
20200302,135000,1610.9000000,1612.4000000,1609.4000000,1610.4000000,786
20200302,140000,1610.5000000,1612.0000000,1610.3000000,1611.4000000,783
20200302,141000,1611.8000000,1612.1000000,1610.4000000,1611.1000000,1442
20200302,142000,1611.3000000,1613.2000000,1611.1000000,1611.5000000,4226
20200302,143000,1611.5000000,1612.9000000,1610.4000000,1610.5000000,1991
20200302,144000,1610.6000000,1610.6000000,1605.9000000,1606.4000000,3963
20200302,145000,1606.6000000,1607.9000000,1605.2000000,1606.0000000,3638
20200302,150000,1606.0000000,1609.8000000,1605.8000000,1608.8000000,3650
20200302,151000,1608.7000000,1609.5000000,1604.5000000,1604.8000000,3557
20200302,152000,1604.8000000,1607.1000000,1602.7000000,1604.0000000,3996
20200302,153000,1604.0000000,1605.7000000,1602.7000000,1602.7000000,3359
20200302,154000,1602.5000000,1602.8000000,1597.7000000,1600.4000000,8541
20200302,155000,1600.4000000,1600.6000000,1598.2000000,1600.3000000,2323
20200302,160000,1600.2000000,1602.2000000,1599.4000000,1600.5000000,2038
20200302,161000,1600.6000000,1603.9000000,1600.6000000,1603.4000000,2479
20200302,162000,1603.5000000,1605.5000000,1603.2000000,1603.7000000,1699
20200302,163000,1603.3000000,1603.6000000,1598.8000000,1598.9000000,3452
20200302,164000,1599.1000000,1599.3000000,1594.7000000,1595.6000000,5253
20200302,165000,1595.6000000,1597.7000000,1595.3000000,1595.7000000,1510
20200302,170000,1595.5000000,1598.8000000,1594.0000000,1598.0000000,2852
20200302,171000,1598.1000000,1598.7000000,1596.5000000,1596.7000000,1314
20200302,172000,1596.6000000,1596.7000000,1593.6000000,1594.2000000,2683
20200302,173000,1593.8000000,1596.4000000,1593.4000000,1596.0000000,1831
20200302,174000,1595.7000000,1604.4000000,1595.5000000,1601.4000000,9500
20200302,175000,1601.2000000,1603.3000000,1599.0000000,1602.3000000,3228
20200302,180000,1602.4000000,1603.8000000,1599.8000000,1601.0000000,1566
20200302,181000,1600.4000000,1603.7000000,1598.5000000,1601.1000000,3227
20200302,182000,1601.0000000,1602.8000000,1598.9000000,1599.0000000,3571
20200302,183000,1599.1000000,1599.6000000,1596.7000000,1598.7000000,1911
20200302,184000,1598.6000000,1600.1000000,1594.3000000,1595.7000000,2288
20200302,185000,1595.3000000,1595.4000000,1592.8000000,1594.8000000,1543
