<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210222,021000,3.0000000,3.0100000,2.9850000,3.0050000,4
20210222,025000,3.0000000,3.0050000,3.0000000,3.0050000,4
20210222,040000,2.9950000,2.9950000,2.9950000,2.9950000,6
20210222,041000,2.9950000,2.9950000,2.9950000,2.9950000,1
20210222,061000,3.0050000,3.0050000,3.0050000,3.0050000,1
20210222,071000,3.0000000,3.0000000,3.0000000,3.0000000,2
20210222,085000,3.0000000,3.0000000,3.0000000,3.0000000,1
20210222,105000,2.9800000,2.9800000,2.9800000,2.9800000,1
20210222,120000,2.9800000,2.9800000,2.9800000,2.9800000,2
20210222,122000,2.9800000,2.9800000,2.9750000,2.9750000,5
20210222,123000,2.9800000,2.9800000,2.9750000,2.9750000,4
20210222,130000,2.9750000,2.9750000,2.9750000,2.9750000,1
20210222,131000,2.9800000,2.9800000,2.9800000,2.9800000,1
20210222,144000,2.9650000,2.9700000,2.9600000,2.9600000,19
20210222,151000,2.9650000,2.9650000,2.9600000,2.9600000,2
20210222,154000,2.9500000,2.9500000,2.9500000,2.9500000,1
20210222,155000,2.9350000,2.9400000,2.9350000,2.9400000,2
20210222,162000,2.9500000,2.9550000,2.9500000,2.9550000,2
20210222,165000,2.9500000,2.9550000,2.9500000,2.9550000,2
20210222,175000,2.9600000,2.9600000,2.9600000,2.9600000,1
20210222,182000,2.9500000,2.9500000,2.9500000,2.9500000,2
20210222,220000,3.0000000,3.0000000,3.0000000,3.0000000,1
20210222,224000,3.0050000,3.0070000,3.0050000,3.0070000,4
20210222,233000,2.9900000,2.9900000,2.9900000,2.9900000,2
20210223,000000,2.9900000,2.9900000,2.9900000,2.9900000,1
20210223,015000,3.0050000,3.0050000,3.0050000,3.0050000,1
20210223,083000,2.9950000,2.9950000,2.9950000,2.9950000,1
20210223,091000,3.0000000,3.0000000,3.0000000,3.0000000,1
20210223,092000,3.0000000,3.0000000,3.0000000,3.0000000,1
20210223,122000,2.9600000,2.9600000,2.9600000,2.9600000,1
20210223,133000,2.9700000,2.9700000,2.9700000,2.9700000,4
20210223,135000,2.9800000,2.9800000,2.9800000,2.9800000,1
20210223,152000,2.9500000,2.9500000,2.9500000,2.9500000,1
20210223,161000,2.9450000,2.9450000,2.9450000,2.9450000,8
20210223,165000,2.9500000,2.9500000,2.9500000,2.9500000,1
20210223,171000,2.9550000,2.9550000,2.9550000,2.9550000,3
20210223,175000,2.9400000,2.9400000,2.9400000,2.9400000,1
20210223,180000,2.9300000,2.9300000,2.9300000,2.9300000,2
20210223,181000,2.9350000,2.9350000,2.9350000,2.9350000,1
20210223,183000,2.9450000,2.9450000,2.9450000,2.9450000,5
20210223,190000,2.9300000,2.9300000,2.9300000,2.9300000,1
20210223,223000,2.9300000,2.9300000,2.9300000,2.9300000,1
20210223,224000,2.9350000,2.9350000,2.9330000,2.9330000,4
20210224,000000,2.9350000,2.9400000,2.9350000,2.9350000,17
20210224,001000,2.9350000,2.9400000,2.9300000,2.9350000,37
20210224,002000,2.9450000,2.9450000,2.9450000,2.9450000,2
20210224,015000,2.9350000,2.9350000,2.9350000,2.9350000,2
20210224,071000,2.9200000,2.9200000,2.9200000,2.9200000,3
20210224,074000,2.9200000,2.9200000,2.9200000,2.9200000,1
20210224,093000,2.9000000,2.9000000,2.9000000,2.9000000,2
20210224,104000,2.9100000,2.9100000,2.9050000,2.9050000,3
20210224,135000,2.9150000,2.9150000,2.9150000,2.9150000,1
20210224,140000,2.9150000,2.9150000,2.9150000,2.9150000,1
20210224,145000,2.9100000,2.9100000,2.9100000,2.9100000,1
20210224,151000,2.9150000,2.9150000,2.9150000,2.9150000,1
20210224,152000,2.9150000,2.9150000,2.9150000,2.9150000,1
20210224,153000,2.9250000,2.9250000,2.9250000,2.9250000,1
20210224,155000,2.9250000,2.9250000,2.9250000,2.9250000,1
20210224,170000,2.9050000,2.9050000,2.9050000,2.9050000,1
20210224,171000,2.9000000,2.9000000,2.9000000,2.9000000,1
20210224,174000,2.9100000,2.9100000,2.9100000,2.9100000,1
20210224,180000,2.9050000,2.9050000,2.9050000,2.9050000,1
20210224,181000,2.9100000,2.9100000,2.9100000,2.9100000,2
20210224,212000,2.8950000,2.8950000,2.8950000,2.8950000,1
20210224,223000,2.8800000,2.8800000,2.8800000,2.8800000,3
20210224,224000,2.8700000,2.8710000,2.8700000,2.8710000,12
20210224,230000,2.8800000,2.8800000,2.8800000,2.8800000,3
20210225,001000,2.8850000,2.8850000,2.8850000,2.8850000,2
20210225,015000,2.8700000,2.8700000,2.8700000,2.8700000,1
