<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210222,021000,2.9500000,2.9800000,2.9500000,2.9800000,11
20210222,023000,2.9650000,2.9650000,2.9650000,2.9650000,1
20210222,024000,2.9650000,2.9650000,2.9650000,2.9650000,1
20210222,025000,2.9700000,2.9700000,2.9600000,2.9600000,6
20210222,030000,2.9600000,2.9600000,2.9550000,2.9550000,2
20210222,034000,2.9650000,2.9650000,2.9600000,2.9600000,11
20210222,035000,2.9600000,2.9600000,2.9600000,2.9600000,1
20210222,040000,2.9650000,2.9650000,2.9650000,2.9650000,2
20210222,042000,2.9600000,2.9600000,2.9600000,2.9600000,1
20210222,045000,2.9600000,2.9600000,2.9600000,2.9600000,1
20210222,063000,2.9650000,2.9650000,2.9650000,2.9650000,1
20210222,085000,2.9600000,2.9600000,2.9500000,2.9500000,4
20210222,090000,2.9500000,2.9500000,2.9500000,2.9500000,1
20210222,091000,2.9500000,2.9500000,2.9500000,2.9500000,3
20210222,100000,2.9400000,2.9400000,2.9400000,2.9400000,5
20210222,103000,2.9400000,2.9400000,2.9400000,2.9400000,1
20210222,122000,2.9350000,2.9350000,2.9350000,2.9350000,2
20210222,123000,2.9300000,2.9300000,2.9300000,2.9300000,8
20210222,124000,2.9300000,2.9300000,2.9300000,2.9300000,1
20210222,131000,2.9400000,2.9400000,2.9350000,2.9350000,8
20210222,133000,2.9450000,2.9450000,2.9450000,2.9450000,1
20210222,134000,2.9400000,2.9400000,2.9400000,2.9400000,2
20210222,142000,2.9300000,2.9300000,2.9300000,2.9300000,1
20210222,143000,2.9150000,2.9150000,2.9100000,2.9100000,3
20210222,144000,2.9200000,2.9200000,2.9200000,2.9200000,1
20210222,145000,2.9150000,2.9150000,2.9150000,2.9150000,1
20210222,150000,2.9200000,2.9200000,2.9200000,2.9200000,1
20210222,151000,2.9150000,2.9150000,2.9150000,2.9150000,1
20210222,152000,2.9050000,2.9050000,2.9000000,2.9000000,5
20210222,154000,2.9050000,2.9050000,2.9050000,2.9050000,9
20210222,155000,2.9000000,2.9000000,2.9000000,2.9000000,1
20210222,160000,2.9050000,2.9050000,2.9050000,2.9050000,2
20210222,161000,2.9000000,2.9050000,2.9000000,2.9050000,11
20210222,163000,2.9000000,2.9000000,2.9000000,2.9000000,1
20210222,164000,2.9050000,2.9050000,2.9050000,2.9050000,2
20210222,165000,2.9050000,2.9050000,2.9050000,2.9050000,1
20210222,170000,2.9050000,2.9050000,2.9050000,2.9050000,1
20210222,171000,2.8950000,2.8950000,2.8950000,2.8950000,1
20210222,172000,2.9200000,2.9250000,2.9200000,2.9200000,15
20210222,175000,2.9300000,2.9300000,2.9200000,2.9200000,2
20210222,182000,2.9100000,2.9100000,2.9000000,2.9100000,9
20210222,183000,2.9150000,2.9150000,2.9050000,2.9100000,5
20210222,184000,2.9150000,2.9150000,2.9150000,2.9150000,3
20210222,195000,2.9050000,2.9050000,2.9050000,2.9050000,2
20210222,200000,2.9050000,2.9050000,2.9000000,2.9000000,3
20210222,201000,2.9050000,2.9100000,2.9050000,2.9100000,2
20210222,202000,2.9150000,2.9150000,2.9150000,2.9150000,1
20210222,204000,2.9200000,2.9300000,2.9200000,2.9300000,3
20210222,211000,2.9300000,2.9300000,2.9300000,2.9300000,2
20210222,212000,2.9350000,2.9350000,2.9350000,2.9350000,1
20210222,213000,2.9450000,2.9500000,2.9450000,2.9500000,6
20210222,214000,2.9550000,2.9550000,2.9550000,2.9550000,2
20210222,220000,2.9450000,2.9600000,2.9450000,2.9600000,19
20210222,221000,2.9600000,2.9600000,2.9600000,2.9600000,5
20210222,222000,2.9700000,2.9800000,2.9700000,2.9800000,3
20210222,223000,2.9600000,2.9600000,2.9600000,2.9600000,1
20210222,224000,2.9600000,2.9600000,2.9600000,2.9600000,1
20210222,225000,2.9450000,2.9450000,2.9450000,2.9450000,1
20210222,233000,2.9500000,2.9500000,2.9500000,2.9500000,1
20210222,235000,2.9500000,2.9500000,2.9450000,2.9450000,2
20210223,041000,2.9450000,2.9450000,2.9450000,2.9450000,3
20210223,061000,2.9400000,2.9400000,2.9400000,2.9400000,4
20210223,063000,2.9350000,2.9350000,2.9350000,2.9350000,1
20210223,064000,2.9350000,2.9350000,2.9350000,2.9350000,1
20210223,071000,2.9400000,2.9400000,2.9400000,2.9400000,4
20210223,073000,2.9400000,2.9400000,2.9400000,2.9400000,1
20210223,075000,2.9350000,2.9350000,2.9350000,2.9350000,1
20210223,082000,2.9450000,2.9450000,2.9450000,2.9450000,2
20210223,091000,2.9500000,2.9500000,2.9500000,2.9500000,3
20210223,093000,2.9400000,2.9400000,2.9400000,2.9400000,1
20210223,094000,2.9300000,2.9300000,2.9250000,2.9300000,8
20210223,100000,2.9200000,2.9200000,2.9150000,2.9150000,3
20210223,101000,2.9100000,2.9100000,2.9050000,2.9050000,4
20210223,102000,2.9050000,2.9100000,2.9000000,2.9000000,13
20210223,103000,2.9200000,2.9250000,2.9200000,2.9250000,4
20210223,104000,2.9350000,2.9350000,2.9350000,2.9350000,6
20210223,111000,2.9200000,2.9200000,2.9200000,2.9200000,1
20210223,112000,2.9200000,2.9200000,2.9200000,2.9200000,1
20210223,113000,2.9150000,2.9150000,2.9100000,2.9100000,2
20210223,115000,2.9200000,2.9200000,2.9200000,2.9200000,1
20210223,121000,2.9200000,2.9200000,2.9150000,2.9150000,8
20210223,122000,2.9150000,2.9150000,2.9100000,2.9150000,4
20210223,123000,2.9200000,2.9200000,2.9200000,2.9200000,2
20210223,125000,2.9150000,2.9150000,2.9150000,2.9150000,1
20210223,130000,2.9250000,2.9250000,2.9250000,2.9250000,4
20210223,131000,2.9200000,2.9200000,2.9200000,2.9200000,3
20210223,133000,2.9250000,2.9350000,2.9250000,2.9350000,11
20210223,134000,2.9350000,2.9350000,2.9350000,2.9350000,3
20210223,135000,2.9400000,2.9400000,2.9350000,2.9350000,12
20210223,140000,2.9400000,2.9450000,2.9400000,2.9450000,5
20210223,142000,2.9400000,2.9400000,2.9350000,2.9350000,2
20210223,144000,2.9250000,2.9250000,2.9250000,2.9250000,3
20210223,145000,2.9350000,2.9350000,2.9150000,2.9150000,15
20210223,150000,2.9150000,2.9150000,2.9150000,2.9150000,1
20210223,151000,2.9100000,2.9100000,2.9100000,2.9100000,8
20210223,152000,2.9100000,2.9100000,2.9000000,2.9050000,10
20210223,153000,2.9100000,2.9100000,2.9050000,2.9050000,3
20210223,154000,2.9150000,2.9150000,2.9050000,2.9050000,5
20210223,155000,2.9050000,2.9100000,2.9050000,2.9100000,3
20210223,160000,2.9050000,2.9100000,2.9050000,2.9100000,2
20210223,161000,2.9050000,2.9050000,2.8900000,2.8900000,15
20210223,162000,2.8950000,2.9000000,2.8950000,2.9000000,3
20210223,163000,2.9050000,2.9100000,2.9050000,2.9100000,6
20210223,164000,2.9100000,2.9100000,2.9100000,2.9100000,4
20210223,165000,2.9050000,2.9050000,2.9000000,2.9000000,11
20210223,170000,2.9000000,2.9000000,2.8900000,2.8900000,3
20210223,171000,2.9000000,2.9100000,2.9000000,2.9050000,12
20210223,172000,2.9150000,2.9150000,2.9100000,2.9100000,10
20210223,173000,2.9150000,2.9150000,2.9100000,2.9100000,4
20210223,174000,2.9050000,2.9050000,2.8950000,2.9000000,12
20210223,175000,2.8950000,2.8950000,2.8800000,2.8800000,15
20210223,180000,2.8850000,2.8850000,2.8700000,2.8800000,40
20210223,181000,2.8800000,2.8900000,2.8800000,2.8900000,6
20210223,182000,2.8900000,2.8900000,2.8900000,2.8900000,5
20210223,183000,2.8900000,2.8900000,2.8900000,2.8900000,11
20210223,184000,2.8850000,2.8850000,2.8750000,2.8750000,2
20210223,185000,2.8800000,2.8850000,2.8750000,2.8750000,9
20210223,190000,2.8750000,2.8750000,2.8750000,2.8750000,5
20210223,191000,2.8800000,2.8800000,2.8800000,2.8800000,2
20210223,192000,2.8850000,2.8900000,2.8850000,2.8850000,5
20210223,193000,2.8850000,2.8900000,2.8850000,2.8900000,9
20210223,194000,2.8950000,2.9000000,2.8950000,2.9000000,16
