<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200302,021000,16.5000000,16.6050000,16.4450000,16.5500000,2126
20200302,022000,16.5450000,16.5650000,16.4500000,16.5200000,1021
20200302,023000,16.5250000,16.5550000,16.4900000,16.5450000,437
20200302,024000,16.5400000,16.5500000,16.5200000,16.5500000,307
20200302,025000,16.5450000,16.5700000,16.5150000,16.5550000,393
20200302,030000,16.5450000,16.5650000,16.5200000,16.5650000,313
20200302,031000,16.5600000,16.6350000,16.5350000,16.6150000,675
20200302,032000,16.6150000,16.6450000,16.5850000,16.6300000,341
20200302,033000,16.6350000,16.7050000,16.6250000,16.7000000,598
20200302,034000,16.6950000,16.7500000,16.6550000,16.7250000,930
20200302,035000,16.7300000,16.7750000,16.7150000,16.7700000,768
20200302,040000,16.7650000,16.8450000,16.7650000,16.8400000,1304
20200302,041000,16.8400000,16.9450000,16.7750000,16.8250000,5746
20200302,042000,16.8250000,16.8850000,16.8150000,16.8550000,1648
20200302,043000,16.8550000,16.9600000,16.8550000,16.9150000,1458
20200302,044000,16.9200000,16.9300000,16.8400000,16.8650000,1455
20200302,045000,16.8650000,16.9150000,16.8650000,16.9000000,838
20200302,050000,16.9000000,16.9100000,16.8650000,16.8750000,1169
20200302,051000,16.8800000,16.9050000,16.8600000,16.8900000,784
20200302,052000,16.8950000,16.9250000,16.8800000,16.8850000,537
20200302,053000,16.8800000,16.9000000,16.8650000,16.8850000,438
20200302,054000,16.8850000,16.9200000,16.8600000,16.8700000,836
20200302,055000,16.8750000,16.9000000,16.8650000,16.8700000,616
20200302,060000,16.8700000,16.9150000,16.8700000,16.9150000,486
20200302,061000,16.9150000,16.9200000,16.8850000,16.8900000,411
20200302,062000,16.8900000,16.9600000,16.8900000,16.9500000,693
20200302,063000,16.9500000,17.0150000,16.9350000,16.9700000,1009
20200302,064000,16.9750000,16.9800000,16.9400000,16.9650000,497
20200302,065000,16.9650000,16.9800000,16.9500000,16.9750000,343
20200302,070000,16.9750000,16.9950000,16.9600000,16.9600000,208
20200302,071000,16.9600000,16.9700000,16.9450000,16.9550000,190
20200302,072000,16.9550000,16.9750000,16.9450000,16.9650000,128
20200302,073000,16.9650000,16.9900000,16.9500000,16.9900000,113
20200302,074000,16.9900000,17.0200000,16.9850000,17.0100000,262
20200302,075000,17.0050000,17.0050000,16.9700000,16.9850000,466
20200302,080000,16.9850000,16.9850000,16.9500000,16.9700000,292
20200302,081000,16.9700000,16.9750000,16.9450000,16.9650000,250
20200302,082000,16.9600000,16.9950000,16.9600000,16.9850000,146
20200302,083000,16.9850000,16.9850000,16.9650000,16.9750000,111
20200302,084000,16.9750000,17.0600000,16.9750000,17.0250000,1128
20200302,085000,17.0250000,17.0450000,17.0000000,17.0100000,371
20200302,090000,17.0150000,17.0250000,16.9900000,17.0050000,261
20200302,091000,17.0050000,17.0300000,16.9950000,17.0250000,448
20200302,092000,17.0250000,17.0400000,17.0050000,17.0100000,406
20200302,093000,17.0100000,17.0200000,17.0000000,17.0100000,162
20200302,094000,17.0150000,17.0200000,16.9950000,17.0000000,223
20200302,095000,16.9950000,17.0000000,16.9350000,16.9350000,714
20200302,100000,16.9350000,16.9700000,16.9200000,16.9500000,390
20200302,101000,16.9500000,16.9600000,16.9200000,16.9600000,617
20200302,102000,16.9550000,16.9800000,16.9500000,16.9600000,358
20200302,103000,16.9600000,16.9850000,16.9450000,16.9500000,366
20200302,104000,16.9450000,16.9500000,16.9150000,16.9200000,381
20200302,105000,16.9250000,16.9300000,16.8750000,16.9050000,947
20200302,110000,16.9100000,16.9100000,16.8800000,16.9100000,395
20200302,111000,16.9050000,16.9750000,16.9000000,16.9700000,814
20200302,112000,16.9700000,16.9900000,16.9250000,16.9900000,650
20200302,113000,16.9900000,17.0200000,16.9850000,17.0100000,528
20200302,114000,17.0100000,17.0150000,16.9850000,17.0000000,364
20200302,115000,17.0050000,17.0400000,16.9950000,17.0050000,567
20200302,120000,17.0050000,17.0200000,16.9700000,17.0150000,445
20200302,121000,17.0100000,17.0150000,16.9650000,17.0050000,437
20200302,122000,17.0000000,17.0300000,16.9900000,17.0250000,257
20200302,123000,17.0200000,17.0250000,16.9800000,16.9850000,280
20200302,124000,16.9850000,17.0000000,16.9850000,16.9850000,307
20200302,125000,16.9800000,16.9850000,16.9600000,16.9650000,332
20200302,130000,16.9650000,16.9800000,16.9500000,16.9600000,196
20200302,131000,16.9600000,16.9650000,16.9450000,16.9500000,281
20200302,132000,16.9550000,16.9800000,16.9450000,16.9500000,305
20200302,133000,16.9500000,16.9850000,16.9450000,16.9650000,481
20200302,134000,16.9700000,16.9800000,16.9600000,16.9750000,155
20200302,135000,16.9650000,16.9850000,16.9300000,16.9300000,333
20200302,140000,16.9350000,16.9350000,16.9100000,16.9250000,379
20200302,141000,16.9250000,16.9450000,16.9050000,16.9050000,235
20200302,142000,16.9050000,16.9400000,16.9050000,16.9150000,274
20200302,143000,16.9100000,16.9100000,16.8450000,16.8600000,816
20200302,144000,16.8600000,16.8750000,16.8500000,16.8550000,393
20200302,145000,16.8550000,16.8650000,16.8050000,16.8150000,748
20200302,150000,16.8200000,16.8250000,16.7250000,16.7700000,1697
20200302,151000,16.7750000,16.9100000,16.7750000,16.8600000,1768
20200302,152000,16.8650000,16.8900000,16.8150000,16.8350000,591
20200302,153000,16.8350000,16.8700000,16.8300000,16.8300000,378
20200302,154000,16.8250000,16.8300000,16.7800000,16.8100000,736
20200302,155000,16.8100000,16.8100000,16.7750000,16.8000000,374
20200302,160000,16.8050000,16.8250000,16.7950000,16.7950000,385
20200302,161000,16.7950000,16.8100000,16.7600000,16.7700000,940
20200302,162000,16.7700000,16.7850000,16.7600000,16.7600000,554
20200302,163000,16.7550000,16.7550000,16.6700000,16.7000000,2427
20200302,164000,16.7000000,16.7150000,16.6450000,16.6900000,2285
20200302,165000,16.6850000,16.7450000,16.6850000,16.6900000,1290
20200302,170000,16.6900000,16.7300000,16.6750000,16.7250000,1428
20200302,171000,16.7250000,16.7500000,16.7100000,16.7100000,917
20200302,172000,16.7100000,16.7150000,16.6750000,16.6800000,846
20200302,173000,16.6800000,16.7350000,16.6700000,16.7350000,1015
20200302,174000,16.7400000,16.7850000,16.7250000,16.7250000,415
20200302,175000,16.7300000,16.7600000,16.6950000,16.7450000,492
20200302,180000,16.7450000,16.7550000,16.7100000,16.7300000,416
20200302,181000,16.7250000,16.7400000,16.6750000,16.7100000,503
20200302,182000,16.7000000,16.7350000,16.6800000,16.6800000,354
20200302,183000,16.6850000,16.6850000,16.6450000,16.6650000,611
20200302,184000,16.6650000,16.6750000,16.6500000,16.6750000,401
20200302,185000,16.6800000,16.7100000,16.6600000,16.7050000,411
20200302,190000,16.7000000,16.7500000,16.7000000,16.7100000,252
20200302,191000,16.7100000,16.7600000,16.7100000,16.7500000,304
20200302,192000,16.7500000,16.8000000,16.7050000,16.7750000,410
20200302,193000,16.7750000,16.7800000,16.7200000,16.7300000,473
20200302,194000,16.7300000,16.7600000,16.7250000,16.7600000,305
20200302,195000,16.7600000,16.7650000,16.7450000,16.7500000,418
20200302,200000,16.7450000,16.7950000,16.7450000,16.7900000,437
20200302,201000,16.7900000,16.8150000,16.7850000,16.8000000,585
20200302,202000,16.8000000,16.8250000,16.7700000,16.7750000,323
20200302,203000,16.7750000,16.7750000,16.7400000,16.7600000,440
20200302,204000,16.7600000,16.8050000,16.7600000,16.8050000,449
20200302,205000,16.8050000,16.8200000,16.7900000,16.7900000,643
20200302,210000,16.7850000,16.7900000,16.7600000,16.7800000,485
20200302,211000,16.7750000,16.7900000,16.7650000,16.7700000,653
20200302,212000,16.7700000,16.7900000,16.7550000,16.7850000,1001
20200302,213000,16.7800000,16.7850000,16.7000000,16.7550000,2088
20200302,214000,16.7550000,16.7600000,16.7200000,16.7250000,285
20200302,215000,16.7250000,16.7400000,16.7050000,16.7050000,217
20200302,220000,16.7050000,16.7350000,16.7050000,16.7350000,163
20200302,221000,16.7350000,16.7650000,16.7350000,16.7500000,199
20200302,222000,16.7550000,16.8200000,16.7550000,16.7850000,481
20200302,223000,16.7800000,16.7950000,16.7750000,16.7950000,187
20200302,224000,16.7900000,16.7900000,16.7650000,16.7800000,195
20200302,225000,16.7850000,16.8050000,16.7700000,16.8000000,268
20200302,230000,16.8000000,16.8050000,16.7450000,16.7550000,212
20200302,231000,16.7550000,16.7800000,16.7550000,16.7650000,308
20200302,232000,16.7600000,16.7700000,16.7500000,16.7550000,118
20200302,233000,16.7550000,16.7600000,16.7350000,16.7400000,205
20200302,234000,16.7400000,16.7550000,16.7200000,16.7250000,195
20200302,235000,16.7250000,16.7350000,16.7050000,16.7050000,198
20200303,000000,16.7050000,16.7150000,16.6600000,16.6600000,198
20200303,001000,16.6750000,16.7100000,16.6750000,16.7050000,173
20200303,002000,16.7100000,16.7100000,16.6950000,16.7100000,103
20200303,003000,16.7100000,16.7650000,16.7050000,16.7400000,229
20200303,004000,16.7400000,16.7500000,16.7350000,16.7450000,73
20200303,005000,16.7500000,16.7500000,16.7350000,16.7400000,76
20200303,010000,16.7350000,16.7400000,16.7250000,16.7300000,96
20200303,021000,16.6650000,16.8150000,16.6650000,16.8050000,711
20200303,022000,16.8000000,16.8300000,16.7850000,16.7900000,393
20200303,023000,16.8000000,16.8100000,16.7950000,16.8100000,14
20200303,024000,16.8150000,16.8650000,16.7950000,16.8400000,181
20200303,025000,16.8150000,16.8500000,16.8050000,16.8400000,121
20200303,030000,16.8450000,16.8450000,16.8100000,16.8150000,49
20200303,031000,16.8150000,16.8350000,16.8000000,16.8250000,140
20200303,032000,16.8250000,16.8300000,16.8150000,16.8250000,93
20200303,033000,16.8250000,16.8550000,16.8100000,16.8450000,131
20200303,034000,16.8400000,16.8450000,16.8300000,16.8350000,70
20200303,035000,16.8350000,16.8400000,16.7900000,16.7900000,222
20200303,040000,16.7900000,16.8450000,16.7900000,16.8450000,130
20200303,041000,16.8450000,17.0000000,16.8450000,16.9850000,2203
20200303,042000,16.9850000,16.9950000,16.9400000,16.9600000,874
20200303,043000,16.9550000,16.9750000,16.9450000,16.9600000,315
20200303,044000,16.9550000,16.9550000,16.9250000,16.9350000,193
20200303,045000,16.9350000,16.9450000,16.9000000,16.9250000,457
20200303,050000,16.9250000,16.9700000,16.9200000,16.9400000,534
20200303,051000,16.9350000,16.9450000,16.9100000,16.9400000,501
20200303,052000,16.9400000,16.9650000,16.9400000,16.9500000,286
20200303,053000,16.9450000,16.9550000,16.9350000,16.9350000,87
20200303,054000,16.9450000,16.9600000,16.9350000,16.9450000,261
20200303,055000,16.9500000,16.9650000,16.9400000,16.9400000,108
20200303,060000,16.9400000,16.9400000,16.9150000,16.9350000,284
20200303,061000,16.9350000,16.9350000,16.8950000,16.9050000,395
20200303,062000,16.9050000,16.9150000,16.9000000,16.9150000,171
20200303,063000,16.9200000,16.9300000,16.9100000,16.9150000,262
20200303,064000,16.9200000,16.9500000,16.9100000,16.9300000,224
20200303,065000,16.9250000,16.9250000,16.9150000,16.9200000,33
20200303,070000,16.9150000,16.9150000,16.9100000,16.9100000,48
20200303,071000,16.9100000,16.9100000,16.9000000,16.9100000,109
20200303,072000,16.9100000,16.9150000,16.9050000,16.9150000,47
20200303,073000,16.9100000,16.9350000,16.9100000,16.9200000,185
20200303,074000,16.9200000,16.9300000,16.8900000,16.9000000,195
20200303,075000,16.9050000,16.9150000,16.9000000,16.9000000,75
20200303,080000,16.9050000,16.9300000,16.9000000,16.9250000,85
20200303,081000,16.9250000,16.9250000,16.9150000,16.9250000,51
20200303,082000,16.9300000,16.9300000,16.9150000,16.9150000,60
20200303,083000,16.9150000,16.9200000,16.9100000,16.9100000,91
20200303,084000,16.9150000,16.9150000,16.8700000,16.8900000,515
20200303,085000,16.8900000,16.9050000,16.8800000,16.8900000,195
